Date,1 MO,2 MO,3 MO,6 MO,1 YR,2 YR,3 YR,5 YR,7 YR,10 YR,20 YR,30 YR
2023-05-10,-0.010791366906475,-0.032945736434108,-0.0094517958412098,-0.0096525096525096,-0.022869022869023,-0.027431421446384,-0.032697547683924,-0.03988603988604,-0.031339031339031,-0.028328611898017,-0.015228426395939,-0.012987012987013
2023-05-09,0.0090744101633394,-0.0019342359767891,-0.0037664783427494,0.0077821011673152,0.0041753653444676,0.0024999999999999,-0.0081081081081082,0.0057306590257878,0.0028571428571428,0.002840909090909,0.0051020408163265,0.0026041666666667
2023-05-08,-0.014311270125224,-0.011472275334608,0.0095057034220532,0.0019493177387914,0.012684989429175,0.020408163265306,0.019283746556474,0.023460410557185,0.026392961876833,0.023255813953488,0.018181818181818,0.021276595744681
2023-05-05,-0.029513888888889,-0.0019083969465648,0.0,0.017857142857143,0.030501089324619,0.045333333333333,0.046109510086455,0.036474164133739,0.02710843373494,0.020771513353116,0.013157894736842,0.0080428954423592
2023-05-04,0.22553191489362,-0.016885553470919,0.0,-0.0078740157480315,-0.023404255319149,-0.03598971722365,-0.03072625698324,-0.023738872403561,-0.014836795252226,-0.0029585798816567,0.0026385224274406,0.0081081081081081
2023-05-03,0.030701754385965,0.0,0.0038167938931297,0.0039525691699606,-0.0084388185654008,-0.020151133501259,-0.024523160762943,-0.026011560693642,-0.020348837209302,-0.017441860465116,-0.0078534031413612,-0.0053763440860215
2023-05-02,0.015590200445434,0.030947775628627,-0.0056925996204932,-0.01556420233463,-0.024691358024691,-0.041062801932367,-0.046753246753247,-0.04945054945055,-0.049723756906077,-0.041782729805014,-0.032911392405063,-0.03125
2023-05-01,0.032183908045977,0.0058365758754864,0.033333333333333,0.015810276679842,0.0125,0.024752475247525,0.026666666666667,0.037037037037037,0.037249283667622,0.043604651162791,0.039473684210526,0.046321525885559
2023-04-28,0.018735362997658,0.0019493177387914,-0.015444015444015,0.0019801980198019,0.00418410041841,-0.0073710073710074,-0.018324607329843,-0.025,-0.022408963585434,-0.025495750708215,-0.020618556701031,-0.023936170212766
2023-04-27,0.092071611253197,0.011834319526627,0.003875968992248,0.01,0.030172413793104,0.043589743589744,0.046575342465753,0.040462427745665,0.034782608695652,0.029154518950437,0.018372703412073,0.016216216216216
2023-04-26,-0.048661800486618,0.003960396039604,0.0078125,0.004016064257028,0.008695652173913,0.010362694300518,0.0082872928176795,0.0087463556851311,0.0087719298245615,0.0088235294117648,0.010610079575597,0.013698630136986
2023-04-25,0.16101694915254,-0.0078585461689588,-0.015384615384615,-0.015810276679842,-0.033613445378151,-0.063106796116505,-0.057291666666667,-0.047222222222222,-0.039325842696629,-0.034090909090909,-0.020779220779221,-0.021447721179625
2023-04-24,0.053571428571429,0.022088353413654,0.011673151750973,-0.0019723865877713,-0.0041841004184101,-0.011990407673861,-0.012853470437018,-0.016393442622951,-0.016574585635359,-0.014005602240896,-0.012820512820513,-0.013227513227513
2023-04-21,-0.011764705882353,-0.011904761904762,0.0039062499999999,0.0019762845849804,0.0020964360587004,0.0072463768115943,0.0051679586563308,0.0082644628099174,0.0083565459610028,0.0084745762711864,0.0077519379844961,0.008
2023-04-20,-0.13924050632911,0.0019880715705765,-0.0077519379844961,-0.007843137254902,-0.014462809917355,-0.023584905660378,-0.025188916876574,-0.021563342318059,-0.019125683060109,-0.016666666666667,-0.0076923076923076,-0.010554089709763
2023-04-19,0.015424164524422,-0.0019841269841269,-0.0076923076923077,0.0019646365422396,0.0062370062370063,0.011933174224344,0.012755102040816,0.005420054200542,0.0082644628099174,0.005586592178771,-0.0025575447570333,0.0
2023-04-18,-0.048899755501222,0.0,-0.0019193857965451,0.0039447731755423,0.0020833333333333,0.0023923444976078,0.0,0.0,-0.0027472527472528,-0.0055555555555556,-0.0025510204081632,-0.005249343832021
2023-04-17,-0.046620046620047,0.012048192771084,0.013618677042802,0.0079522862823062,0.0062893081761007,0.024509803921569,0.023498694516971,0.025,0.02247191011236,0.022727272727273,0.018181818181818,0.018716577540107
2023-04-14,0.051470588235294,0.0040322580645162,0.007843137254902,0.016161616161616,0.023605150214592,0.03030303030303,0.035135135135135,0.025641025641026,0.022988505747126,0.020289855072464,0.013157894736842,0.013550135501355
2023-04-13,-0.044496487119438,0.014314928425358,0.01593625498008,-0.0060240963855422,0.0043103448275863,0.0025316455696202,0.0054347826086957,0.014450867052023,0.014577259475219,0.011730205278592,0.013333333333333,0.013736263736264
2023-04-12,0.0,0.0,-0.0039682539682541,-0.002004008016032,-0.0064239828693791,-0.01985111662531,-0.021276595744681,-0.022598870056497,-0.014367816091954,-0.0058309037900875,0.0,0.005524861878453
2023-04-11,-0.057395143487859,0.0,-0.0078740157480315,0.002008032128514,0.0043010752688171,0.0075000000000001,0.0026666666666666,0.0056818181818182,0.0028818443804034,0.0058651026392962,0.0026737967914438,0.0
2023-04-10,-0.0065789473684209,-0.0020408163265308,0.026262626262626,0.0060606060606061,0.0086767895878525,0.0075566750629722,0.0080645161290322,0.0085959885386819,0.0057971014492754,0.0058997050147493,0.0026809651474531,0.0027700831024931
2023-04-07,-0.00218818380744,0.010309278350516,0.0081466395112016,0.0040567951318459,0.022172949002217,0.039267015706806,0.036211699164346,0.035608308605341,0.032934131736527,0.027272727272727,0.019125683060109,0.019774011299435
2023-04-06,-0.010822510822511,0.016771488469602,0.010288065843621,0.022821576763485,0.018058690744921,0.0079155672823218,0.011267605633803,0.0029761904761905,0.0,0.0,-0.0027247956403269,-0.0056179775280899
