,BTCUSDT,ETHUSDT,BNBUSDT,NEOUSDT,LTCUSDT,QTUMUSDT,ADAUSDT,XRPUSDT,EOSUSDT,IOTAUSDT,XLMUSDT,ONTUSDT,TRXUSDT,ETCUSDT,ICXUSDT,NULSUSDT,VETUSDT,LINKUSDT,WAVESUSDT,ONGUSDT,HOTUSDT,ZILUSDT,ZRXUSDT,FETUSDT,BATUSDT,XMRUSDT,ZECUSDT,IOSTUSDT,CELRUSDT,DASHUSDT,OMGUSDT,THETAUSDT,ENJUSDT,MATICUSDT,ATOMUSDT,TFUELUSDT,ONEUSDT,FTMUSDT,ALGOUSDT,DOGEUSDT,DUSKUSDT,ANKRUSDT,WINUSDT,COSUSDT,MTLUSDT,TOMOUSDT,PERLUSDT,DENTUSDT,DOCKUSDT,WANUSDT,FUNUSDT,CHZUSDT,BANDUSDT,BUSDUSDT,XTZUSDT,RENUSDT,RVNUSDT,HBARUSDT,NKNUSDT,STXUSDT,KAVAUSDT,ARPAUSDT,IOTXUSDT,RLCUSDT,CTXCUSDT,BCHUSDT,TROYUSDT,VITEUSDT
431,50971.75000000,1726.16000000,240.11000000,39.27900000,190.75000000,6.35000000,1.13042000,0.46558000,3.83100000,1.31120000,0.41265000,1.04890000,0.05173000,11.54660000,1.95800000,0.65020000,0.05667000,28.59320000,10.14710000,0.78880000,0.00303840,0.11801000,1.42040000,0.37246000,0.69480000,208.99000000,130.08000000,0.04531900,0.02800000,214.79000000,5.12800000,4.33521000,1.41057000,0.21235000,19.45800000,0.14699400,0.03705000,0.44404000,1.10690000,0.05198710,0.24420000,0.03531500,0.00021383,0.01731000,1.33250000,2.77270000,0.08373000,0.00166940,0.05950000,0.86210000,0.03317200,0.12826000,13.45810000,0.99970000,4.19490000,1.17638000,0.15790000,0.15255000,0.05443000,1.20280000,4.21770000,0.04525000,0.02687200,1.94340000,0.20030000,516.56000000,0.00893740,0.03720000
432,52375.17000000,1833.18000000,240.55090000,40.11300000,191.85000000,6.31400000,1.11848000,0.47412000,3.89810000,1.30150000,0.41821000,1.13320000,0.05307000,11.70820000,1.88900000,0.72190000,0.06531600,31.84690000,10.07980000,0.76650000,0.00300730,0.12544000,1.41980000,0.44438000,0.74370000,221.08000000,129.55000000,0.04463000,0.03044000,218.23000000,5.17760000,4.92836000,1.73127000,0.21746000,19.39200000,0.17161100,0.03623000,0.44985000,1.15700000,0.06297380,0.29340000,0.03884700,0.00021713,0.01857000,1.30790000,2.55320000,0.09925000,0.00176370,0.06700000,0.85370000,0.03490000,0.21924200,14.60870000,0.99970000,4.40000000,1.20990000,0.15444000,0.17410000,0.06700000,1.19900000,4.31060000,0.05224000,0.02808600,2.06840000,0.20210000,529.15000000,0.00908570,0.04099000
433,54884.50000000,1870.51000000,293.20520000,42.58700000,203.81000000,6.55800000,1.19720000,0.48490000,4.16730000,1.42440000,0.43186000,1.21320000,0.05320000,12.39560000,1.98060000,0.68360000,0.06442900,31.49140000,10.71340000,0.76790000,0.00313710,0.13457000,1.47570000,0.42838000,0.74690000,225.16000000,137.69000000,0.04674800,0.03332000,244.20000000,5.42140000,5.36426000,1.70428000,0.29900000,21.10700000,0.18474800,0.04191000,0.53027000,1.18080000,0.05791170,0.28550000,0.04086400,0.00023759,0.02419000,1.34000000,2.59560000,0.11799000,0.00197300,0.09192900,0.92760000,0.03433100,0.26696700,14.93550000,0.99990000,4.46640000,1.34000000,0.17544000,0.20977000,0.12079000,1.23000000,4.34840000,0.05900000,0.03472800,1.99240000,0.22400000,545.32000000,0.01041070,0.06174000
434,55851.59000000,1795.12000000,278.44990000,40.86700000,200.29000000,6.23000000,1.13261000,0.46155000,3.99100000,1.30700000,0.40889000,1.14030000,0.05142000,11.95800000,1.85910000,0.78670000,0.06134300,29.90360000,10.24790000,0.76300000,0.00309580,0.12759000,1.39330000,0.45400000,0.81930000,220.19000000,139.82000000,0.04505500,0.03220000,234.41000000,5.05300000,6.49261000,1.64608000,0.28678000,19.61000000,0.25302100,0.04130000,0.45746000,1.10780000,0.05586920,0.29160000,0.04154000,0.00023282,0.02456000,1.28120000,2.60320000,0.11291000,0.00204750,0.08401200,0.90960000,0.03273700,0.24861400,13.85540000,1.00000000,4.14390000,1.23683000,0.18124000,0.22000000,0.10088000,1.11470000,4.04080000,0.07090000,0.03561400,2.13870000,0.21180000,546.27000000,0.01261140,0.12551000
435,57773.16000000,1825.78000000,290.03010000,41.93700000,201.36000000,6.14200000,1.12430000,0.45187000,3.95320000,1.39000000,0.40564000,1.13170000,0.05151000,12.25930000,1.88460000,0.81820000,0.06723700,30.11660000,10.05840000,0.74570000,0.00314030,0.17701000,1.37430000,0.44166000,0.80270000,221.11000000,151.86000000,0.04597600,0.03468000,235.39000000,5.22000000,7.03079000,1.78966000,0.40884000,19.33300000,0.36187600,0.04211000,0.44219000,1.08380000,0.05592860,0.29540000,0.04473000,0.00023047,0.02673000,1.29770000,2.47810000,0.14357000,0.00212340,0.09348700,0.90930000,0.03022000,0.35769000,14.00900000,0.99980000,4.12200000,1.25114000,0.18140000,0.26945000,0.11268000,1.09780000,5.37500000,0.07125000,0.03798400,2.52990000,0.24530000,549.85000000,0.01176750,0.12700000
436,57221.72000000,1766.10000000,263.22010000,39.89500000,220.84000000,5.83700000,1.03207000,0.43934000,3.78280000,1.32100000,0.38657000,1.06770000,0.04997000,11.93650000,1.79580000,0.97020000,0.06555200,28.35530000,9.87300000,0.74200000,0.00296250,0.16339000,1.33960000,0.52550000,0.75550000,222.85000000,145.36000000,0.04339500,0.04197000,224.69000000,5.12300000,6.92649000,2.06814000,0.41354000,18.55200000,0.39442900,0.05866000,0.38867000,1.05010000,0.05527310,0.28260000,0.06228800,0.00021848,0.02477000,1.56240000,2.29730000,0.13674000,0.00286990,0.08995000,0.99240000,0.03264300,0.72771000,13.36710000,1.00020000,3.96910000,1.15594000,0.18485000,0.27162000,0.17938000,1.15530000,5.81980000,0.06548000,0.03464000,2.30660000,0.26300000,538.44000000,0.01510100,0.10782000
437,61188.39000000,1922.35000000,276.28220000,42.04400000,226.06000000,6.12200000,1.10000000,0.45787000,4.28160000,1.37800000,0.40661000,1.13420000,0.05291000,13.77330000,1.83710000,0.88600000,0.06752300,29.73840000,10.15300000,0.76990000,0.00461900,0.18252000,1.39300000,0.62092000,0.81450000,239.46000000,156.12000000,0.04381400,0.04653000,243.04000000,5.32250000,6.83000000,2.03774000,0.42474000,19.36300000,0.36968300,0.05312000,0.40604000,1.13920000,0.06278920,0.28820000,0.06617400,0.00026723,0.03174000,1.50540000,2.39140000,0.15903000,0.00351190,0.10099800,1.15020000,0.03298100,0.60129000,14.31020000,1.00040000,4.16510000,1.19768000,0.19112000,0.27756000,0.16215000,1.26450000,6.27890000,0.08400000,0.04451800,2.40300000,0.26800000,593.99000000,0.01663730,0.10397000
438,58968.31000000,1848.10000000,263.23800000,39.61600000,213.94000000,5.83200000,1.05243000,0.43905000,3.92560000,1.31100000,0.38831000,1.06550000,0.05105000,12.72140000,1.73880000,0.83220000,0.06607400,28.54690000,9.73880000,0.77640000,0.00727370,0.16415000,1.32470000,0.68704000,0.76620000,232.25000000,143.18000000,0.04350200,0.05433000,231.17000000,5.06650000,7.33788000,2.33000000,0.38043000,18.44400000,0.37420200,0.08120000,0.38919000,1.11680000,0.05822100,0.29640000,0.06803700,0.00028000,0.03036000,1.43620000,2.52920000,0.16938000,0.00345000,0.11517600,1.04490000,0.03184100,0.65265000,13.34750000,0.99990000,3.92480000,1.10119000,0.17987000,0.36336000,0.16222000,1.14740000,5.46810000,0.08102000,0.04930000,2.22000000,0.28080000,552.02000000,0.01576680,0.09203000
439,55605.20000000,1793.48000000,254.51440000,38.59700000,200.59000000,5.95000000,1.03103000,0.43574000,3.81690000,1.28020000,0.38429000,1.13840000,0.05069000,12.15600000,1.94300000,0.88130000,0.07890100,27.50910000,9.58420000,0.73640000,0.00708000,0.16109000,1.32820000,0.64610000,0.76050000,221.88000000,135.10000000,0.04261000,0.05877000,221.42000000,5.02300000,6.75292000,2.67509000,0.39110000,19.83800000,0.34479500,0.08642000,0.36639000,1.19430000,0.05696910,0.31500000,0.06884100,0.00026488,0.03075000,1.36940000,2.30540000,0.18325000,0.00331770,0.10720700,1.27410000,0.03551000,0.60556000,12.62600000,1.00000000,3.83240000,1.08800000,0.21765000,0.40195000,0.14774000,1.11840000,5.43140000,0.08333000,0.04530200,2.29940000,0.26080000,523.20000000,0.02142320,0.13822000
440,56900.75000000,1805.12000000,258.53520000,40.79300000,201.60000000,6.36800000,1.24924000,0.46024000,4.06610000,1.32950000,0.39563000,1.17750000,0.05237000,12.42970000,1.92040000,0.88500000,0.07441100,27.90990000,9.84110000,0.72200000,0.00684160,0.15505000,1.43000000,0.61549000,1.03030000,229.92000000,139.41000000,0.04218400,0.05398000,223.59000000,5.18650000,7.02166000,2.54945000,0.37275000,21.00800000,0.35307000,0.08425000,0.38176000,1.20070000,0.05865070,0.32760000,0.07387500,0.00026075,0.03239000,1.53250000,2.39010000,0.17488000,0.00314690,0.09965200,1.36510000,0.03610900,0.52002000,13.50630000,0.99980000,4.03910000,1.09756000,0.22165000,0.34302000,0.14368000,1.12870000,6.24800000,0.08671000,0.04301100,2.75560000,0.27800000,528.50000000,0.02028810,0.10998000
441,58912.97000000,1823.58000000,269.78960000,46.42800000,205.98000000,6.20800000,1.37700000,0.46980000,4.08670000,1.35250000,0.40268000,1.25810000,0.05483000,12.56710000,1.87580000,0.89330000,0.07667300,31.05790000,10.12430000,0.77110000,0.00716760,0.19681000,1.44690000,0.65800000,1.23420000,236.20000000,146.02000000,0.04271400,0.05070000,229.47000000,5.59780000,7.87000000,2.45960000,0.40081000,20.89600000,0.34680300,0.08221000,0.42560000,1.28860000,0.05789200,0.36980000,0.06881300,0.00026920,0.03399000,1.42500000,2.40000000,0.16197000,0.00356750,0.09962900,1.39210000,0.03528900,0.58013000,14.21770000,0.99970000,4.41220000,1.10077000,0.22006000,0.36001000,0.14069000,1.21220000,6.22620000,0.08133000,0.04481100,2.44630000,0.29290000,541.57000000,0.01989620,0.10386000
442,57648.16000000,1776.08000000,261.48160000,43.64300000,199.70000000,6.37200000,1.22925000,0.46893000,4.14340000,1.32450000,0.39439000,1.18450000,0.05329000,12.16900000,1.86690000,0.86950000,0.07747500,29.39490000,10.24540000,0.76440000,0.00713230,0.17905000,1.51620000,0.59455000,1.20270000,228.04000000,142.97000000,0.04568800,0.05030000,225.83000000,6.08470000,8.40472000,2.65051000,0.38919000,22.10600000,0.35247200,0.09517000,0.39842000,1.25700000,0.05734850,0.40370000,0.06618100,0.00025792,0.03141000,1.41490000,2.45360000,0.14988000,0.00334300,0.09176100,1.28570000,0.03655100,0.63724000,13.98190000,1.00020000,4.25940000,1.09666000,0.20969000,0.34357000,0.15220000,1.31880000,5.85010000,0.08108000,0.04541500,2.27810000,0.34460000,528.17000000,0.01943990,0.10166000
443,58030.01000000,1809.10000000,262.93500000,44.02300000,199.96000000,7.00500000,1.29474000,0.46651000,4.13750000,1.33400000,0.39486000,1.19450000,0.05862000,12.25690000,1.96620000,0.86300000,0.08076500,29.77700000,10.20760000,0.81330000,0.00815000,0.18397000,1.55860000,0.60380000,1.18120000,231.43000000,150.31000000,0.04701100,0.05486000,225.72000000,5.91290000,8.21023000,2.48453000,0.40991000,22.19000000,0.34176700,0.11644000,0.41213000,1.24930000,0.05824720,0.42990000,0.07425300,0.00034558,0.03852000,1.53510000,2.41120000,0.14633000,0.00448090,0.09520600,1.29830000,0.03598600,0.60425000,14.18700000,1.00000000,4.22580000,1.10500000,0.21183000,0.34410000,0.14920000,1.36070000,6.17130000,0.08401000,0.04635200,2.31760000,0.31340000,532.37000000,0.02305270,0.10030000
